TransactionID,CustomerID,Product,Category,PurchaseDate,Price,Quantity,PaymentMethod,CustomerRegion,Returned,DeliveryDays,SatisfactionRating
1,95822412,Smartphone,Phones,2022-01-01,780.35,3,Credit Card,North,0,7,1
2,24942603,Smartphone,Phones,2022-01-01,1903.89,4,PayPal,East,0,4,2
3,13356886,Smartphone,Phones,2022-01-01,1477.39,4,Cash,South,0,13,2
4,46913810,Smartphone,Phones,2022-01-01,1217.38,2,Wire Transfer,West,0,11,3
5,42868828,Smartphone,Phones,2022-01-01,354.24,1,Cash,West,0,8,3
6,39958838,Monitor,Accessories,2022-01-01,354.19,4,Wire Transfer,East,0,13,4
7,28728463,Smartphone,Phones,2022-01-01,163.26,2,Cash,West,0,5,1
8,23756669,Smartphone,Phones,2022-01-01,1739.04,3,Credit Card,North,0,7,2
9,83197857,Smartphone,Phones,2022-01-01,1222.17,3,PayPal,West,0,10,1
10,21668732,Smartphone,Phones,2022-01-01,1430.74,3,Credit Card,East,0,3,5
11,89254563,Laptop,Computers,2022-01-01,90.14,3,Cash,East,0,7,2
12,66629388,Headphones,Accessories,2022-01-01,1941.32,2,PayPal,North,0,11,1
13,14265799,Laptop,Computers,2022-01-01,1673.26,1,PayPal,East,1,11,4
14,13999315,Smartwatch,Wearables,2022-01-01,464.06,2,PayPal,West,0,8,4
15,22575562,Monitor,Accessories,2022-01-01,404.56,1,PayPal,West,0,5,2
16,39345092,Tablet,Tablets,2022-01-01,407.64,3,Credit Card,South,0,4,5
17,41227216,Smartphone,Phones,2022-01-01,643.27,4,Cash,North,0,8,4
18,77827638,Tablet,Tablets,2022-01-01,1073.28,4,Credit Card,North,0,8,4
19,90801586,Tablet,Tablets,2022-01-01,892.29,4,Cash,East,0,3,5
20,13561597,Tablet,Tablets,2022-01-01,617.9,1,PayPal,South,0,6,1
21,85329037,Smartphone,Phones,2022-01-01,1243.11,3,Credit Card,East,0,5,4
22,36687537,Smartwatch,Wearables,2022-01-01,322.01,2,Cash,North,0,2,3
23,97226012,Headphones,Accessories,2022-01-01,619.68,4,Wire Transfer,North,0,8,4
24,83140807,Smartwatch,Wearables,2022-01-01,764.41,1,Credit Card,East,0,12,1
25,66306997,Tablet,Tablets,2022-01-02,939.34,4,Credit Card,North,0,14,1
26,39587039,Headphones,Accessories,2022-01-02,1581.09,2,Credit Card,West,0,6,2
27,70291817,Laptop,Computers,2022-01-02,439.36,3,Cash,North,0,2,3
28,89089901,Monitor,Accessories,2022-01-02,1052.76,2,Credit Card,South,0,12,1
29,47338124,Laptop,Computers,2022-01-02,1205.21,3,Wire Transfer,East,0,5,5
30,10872248,Smartphone,Phones,2022-01-02,140.58,3,PayPal,East,0,1,3
